code,name,city,state,statename,lat,lng,search
BFI,King County International Airport-Boeing Field,Seattle,WA,Washington,47.5369,-122.304,bfi|kingcountyinternationalairportboeingfield|seattlewa|washington
BFL,Kern County-Meadows Field Airport,Bakersfield,CA,California,35.4288,-119.044,bfl|kerncountymeadowsfieldairport|bakersfieldca|california
BGM,Greater Binghamton Edwin A Link Field Airport,Johnson City,NY,New York,42.2082,-75.9825,bgm|greaterbinghamtonedwinalinkfieldairport|johnsoncityny|newyork
BGR,Bangor International Airport,Bangor,ME,Maine,44.8086,-68.8167,bgr|bangorinternationalairport|bangorme|maine
BHB,Hancock County-Bar Harbor Airport,Ellsworth,ME,Maine,44.4461,-68.3615,bhb|hancockcountybarharborairport|ellsworthme|maine
BHM,Birmingham International Airport,Birmingham,AL,Alabama,33.5604,-86.7492,bhm|birminghaminternationalairport|birminghamal|alabama
BID,Block Island State Airport,Block Island,RI,Rhode Island,41.1696,-71.58,bid|blockislandstateairport|blockislandri|rhodeisland
BIL,Logan International Airport,Billings,MT,Montana,45.8034,-108.537,bil|loganinternationalairport|billingsmt|montana
BIS,Bismarck Municipal Airport,Bismarck,ND,North Dakota,46.7745,-100.757,bis|bismarckmunicipalairport|bismarcknd|northdakota
BJI,Bemidji-Beltrami County Airport,Bemidji,MN,Minnesota,47.5065,-94.9338,bji|bemidjibeltramicountyairport|bemidjimn|minnesota
BKC,Buckland Airport,Buckland,AK,Alaska,65.9833,-161.167,bkc|bucklandairport|bucklandak|alaska
BKL,Burke Lakefront Airport,Cleveland,OH,Ohio,41.5115,-81.6869,bkl|burkelakefrontairport|clevelandoh|ohio
BKW,Raleigh County Memorial Airport,Beaver,WV,West Virginia,37.7849,-81.1174,bkw|raleighcountymemorialairport|beaverwv|westvirginia
BLI,Bellingham International Airport,Bellingham,WA,Washington,48.7955,-122.532,bli|bellinghaminternationalairport|bellinghamwa|washington
BLV,Belleville,Belleville,IL,Illinois,38.5412,-89.8499,blv|belleville|bellevilleil|illinois
BMI,Bloomington Normal Airport,Bloomington,IL,Illinois,40.4841,-88.9134,bmi|bloomingtonnormalairport|bloomingtonil|illinois
BNA,Nashville International Airport,Nashville,TN,Tennessee,36.1342,-86.6682,bna|nashvilleinternationalairport|nashvilletn|tennessee
BOI,Boise Air Terminal,Boise,ID,Idaho,43.5709,-116.222,boi|boiseairterminal|boiseid|idaho
BOS,Gen E L Logan International Airport,Boston,MA,Massachusetts,42.3717,-71.0281,bos|genelloganinternationalairport|bostonma|massachusetts
BOW,Bartow Municipal Airport,Bartow,FL,Florida,27.9493,-81.7818,bow|bartowmunicipalairport|bartowfl|florida
BPT,Jefferson County Airport,Beaumont,TX,Texas,29.9551,-94.0185,bpt|jeffersoncountyairport|beaumonttx|texas
BQK,Glynco Jetport Airport,Brunswick,GA,Georgia,31.2525,-81.4703,bqk|glyncojetportairport|brunswickga|georgia
BQN,Rafael Hernandez Airport,Aguadilla,PR,Puerto Rico,18.496,-67.1357,bqn|rafaelhernandezairport|aguadillapr|puertorico
BRD,Brainerd-Crow Wing County Regional Airport,Brainerd,MN,Minnesota,46.3909,-94.1413,brd|brainerdcrowwingcountyregionalairport|brainerdmn|minnesota
BRL,Burlington Municipal Airport,Burlington,IA,Iowa,40.7816,-91.1197,brl|burlingtonmunicipalairport|burlingtonia|iowa
BRO,Brownsville-South Padre Island International Air,Brownsville,TX,Texas,25.9064,-97.4321,bro|brownsvillesouthpadreislandinternationalair|brownsvilletx|texas
BRW,Wiley Post Will Rogers Memorial Airport,Barrow,AK,Alaska,71.2892,-156.772,brw|wileypostwillrogersmemorialairport|barrowak|alaska
BTI,Barter Island Airport,Kaktovik,AK,Alaska,70.1478,-143.579,bti|barterislandairport|kaktovikak|alaska
BTL,W K Kellogg Airport,Battle Creek,MI,Michigan,42.3046,-85.2448,btl|wkkelloggairport|battlecreekmi|michigan
BTM,Bert Mooney Airport,Butte,MT,Montana,45.9544,-112.503,btm|bertmooneyairport|buttemt|montana
